support,itemsets
0.3359488959307882,"frozenset({'runtime_runtime=(-0.001, 20.0]'})"
0.3393692470197676,"frozenset({'runtime_runtime=(20.0, 97.0]'})"
0.3246818570494442,"frozenset({'runtime_runtime=(97.0, 750.0]'})"
0.3333333333333333,"frozenset({'popularity_popularity=(-0.001, 0.0997]'})"
0.3333333333333333,"frozenset({'popularity_popularity=(0.0997, 16.712]'})"
0.3333333333333333,"frozenset({'popularity_popularity=(16.712, 11474.647]'})"
0.6795432825310598,"frozenset({'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.32045671746894017,"frozenset({'voteAvg_voteAvg=(6.4, 10.0]'})"
0.6670187616317087,"frozenset({'voteCount_voteCount=(-0.001, 193.0]'})"
0.33298123836829135,"frozenset({'voteCount_voteCount=(193.0, 30788.0]'})"
0.34128061968713846,"frozenset({'releaseYear_releaseYear=(1901.999, 2016.0]'})"
0.5311101051254967,"frozenset({'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.1276092751873648,"frozenset({'releaseYear_releaseYear=(2025.0, 2026.0]'})"
0.24958503093405765,"frozenset({'runtime_runtime=(-0.001, 20.0]', 'popularity_popularity=(-0.001, 0.0997]'})"
0.07690760022131683,"frozenset({'popularity_popularity=(0.0997, 16.712]', 'runtime_runtime=(-0.001, 20.0]'})"
0.29877772747849707,"frozenset({'runtime_runtime=(-0.001, 20.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.03717116845229113,"frozenset({'runtime_runtime=(-0.001, 20.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.33373572757909564,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'runtime_runtime=(-0.001, 20.0]'})"
0.25069161510990395,"frozenset({'runtime_runtime=(-0.001, 20.0]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.07856747648508626,"frozenset({'runtime_runtime=(-0.001, 20.0]', 'releaseYear_releaseYear=(2025.0, 2026.0]'})"
0.06755193400734369,"frozenset({'runtime_runtime=(20.0, 97.0]', 'popularity_popularity=(-0.001, 0.0997]'})"
0.13163321764498767,"frozenset({'popularity_popularity=(0.0997, 16.712]', 'runtime_runtime=(20.0, 97.0]'})"
0.14018409536743626,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'runtime_runtime=(20.0, 97.0]'})"
0.2371108093154268,"frozenset({'runtime_runtime=(20.0, 97.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.10225843770434083,"frozenset({'runtime_runtime=(20.0, 97.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.22036114883557165,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'runtime_runtime=(20.0, 97.0]'})"
0.11900809818419597,"frozenset({'runtime_runtime=(20.0, 97.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.14471103063226196,"frozenset({'releaseYear_releaseYear=(1901.999, 2016.0]', 'runtime_runtime=(20.0, 97.0]'})"
0.1614103918313968,"frozenset({'runtime_runtime=(20.0, 97.0]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.03324782455610885,"frozenset({'runtime_runtime=(20.0, 97.0]', 'releaseYear_releaseYear=(2025.0, 2026.0]'})"
0.12479251546702883,"frozenset({'runtime_runtime=(97.0, 750.0]', 'popularity_popularity=(0.0997, 16.712]'})"
0.1836929731904834,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'runtime_runtime=(97.0, 750.0]'})"
0.14365474573713596,"frozenset({'runtime_runtime=(97.0, 750.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.18102711131230823,"frozenset({'runtime_runtime=(97.0, 750.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
