id,categoria_real,prediccion_rna_1,prediccion_rna_2
1.431225330076153e+18,cara,cara,cara
49320872.0,barata,barata,media
1.1355925371821455e+18,cara,media,media
9.90220451738223e+17,barata,barata,barata
16225824.0,cara,cara,cara
9.856042314316686e+17,barata,barata,barata
9.78369129441451e+17,barata,barata,barata
1.2272763305035507e+18,media,cara,cara
6.687329741034134e+17,media,media,media
9.624922684649855e+17,cara,media,media
19576456.0,media,media,media
1.163332986921482e+18,cara,cara,cara
47732195.0,barata,media,media
7664664.0,media,media,media
8.449448089970062e+17,media,media,media
52191338.0,barata,barata,barata
9.094348402685613e+17,barata,barata,barata
46172575.0,barata,barata,barata
9.379378618939044e+17,cara,media,media
1.0443006685959174e+18,media,media,media
1.3465267161737964e+18,cara,cara,cara
3088192.0,media,barata,barata
49613551.0,cara,media,media
14820482.0,cara,cara,cara
1.3702843502035402e+18,cara,cara,cara
1.0110360573475532e+18,cara,cara,cara
6.6451917996798e+17,media,media,media
9.999667119921295e+17,cara,cara,cara
1.0630039809783359e+18,cara,cara,media
20319737.0,media,media,cara
1.4502876668563484e+18,barata,media,barata
9.435405148811875e+17,cara,cara,cara
8.791981003444684e+17,media,cara,media
1.0899338269553719e+18,barata,barata,barata
1.507386602882266e+18,cara,cara,cara
1.1001880484135136e+18,cara,cara,cara
6.164021945792855e+17,cara,cara,cara
1.4524421810173978e+18,barata,media,media
9.101620454313797e+17,cara,cara,cara
1.453695956125178e+18,media,media,barata
1.2174604761803003e+18,barata,barata,barata
6.33479896306264e+17,barata,barata,barata
1.23286718296329e+18,media,media,media
1.0682147657683553e+18,cara,cara,cara
6.81810923383231e+17,cara,cara,cara
8.165735453441001e+17,media,media,barata
6.832331395056538e+17,barata,barata,barata
52245430.0,barata,barata,barata
1.502576246017135e+18,cara,media,media
20652492.0,media,media,barata
1.2236120597087096e+18,barata,barata,barata
15359153.0,media,barata,barata
39353558.0,cara,cara,cara
52891675.0,cara,cara,cara
1.4226060865242573e+18,barata,media,media
1.2268222728762675e+18,barata,barata,barata
1.0458054587626259e+18,cara,cara,cara
1.1073018033230132e+18,barata,media,media
5.643904649902809e+17,media,cara,cara
7.327017520356375e+17,media,barata,barata
1.2898158423879718e+18,barata,media,media
7.419681465723269e+17,cara,cara,cara
48889075.0,media,media,media
37813755.0,barata,barata,barata
50265853.0,cara,cara,cara
1.3941385964874547e+18,barata,barata,barata
4573172.0,barata,media,barata
1.4987476811570294e+18,barata,barata,barata
9.34108998544859e+17,media,cara,media
9.957949103425312e+17,barata,media,media
6.262022347871369e+17,cara,cara,cara
6662268.0,cara,cara,cara
52776920.0,media,media,media
7.275992916477554e+17,barata,barata,barata
1.282245897883546e+18,cara,media,media
1.0422272444881043e+18,barata,barata,barata
9.443040717278963e+17,barata,barata,barata
3633359.0,barata,barata,barata
1.3453536083915292e+18,cara,cara,cara
54344323.0,barata,media,media
5.835102336832511e+17,media,barata,barata
37021350.0,barata,barata,barata
7.041999026686852e+17,barata,media,media
6.274656456442949e+17,barata,barata,barata
1.3097278524796293e+18,barata,cara,cara
3930452.0,media,media,media
53026894.0,cara,media,media
1.4623681409198487e+18,cara,cara,cara
49931280.0,media,media,media
1.47399491084709e+18,media,media,media
1.2603106305121772e+18,cara,cara,cara
49708101.0,media,media,media
1.3304768213859223e+18,media,media,media
1.4398439165959898e+18,media,cara,media
1.4544320543038472e+18,barata,cara,media
8.434654952512204e+17,media,media,media
6.998484444036805e+17,media,media,media
1.498105938323321e+18,barata,media,barata
8.311161986720378e+17,cara,cara,cara
5.835941312054783e+17,media,media,media
6.194170998694354e+17,media,media,media
1.1943369901988833e+18,barata,media,media
1.2212515771064858e+18,cara,media,media
9.255938108623291e+17,media,media,media
31620232.0,cara,cara,cara
53927630.0,media,media,media
6.765016742351996e+17,media,media,media
6820221.0,cara,cara,cara
8.903845161840932e+17,barata,barata,barata
1.3557123020665774e+18,barata,barata,barata
7.315816169307278e+17,cara,cara,cara
6.253625784590656e+17,media,media,media
25500677.0,cara,cara,cara
35060034.0,cara,cara,cara
43258720.0,cara,barata,barata
39674963.0,media,media,media
6.283365472778871e+17,barata,barata,barata
9.277149505050436e+17,cara,media,media
1.3263178905482578e+18,media,media,media
9.588639876923921e+17,media,media,media
1.096515792589791e+18,barata,barata,barata
13578244.0,barata,barata,barata
7.724731155084767e+17,cara,cara,cara
